iter	Passed	Remaining
729	12140	1164
730	12153	1147
731	12167	1130
732	12180	1113
733	12193	1096
734	12206	1079
735	12218	1062
736	12233	1045
737	12245	1028
738	12258	1011
739	12270	994
740	12282	977
741	12293	960
742	12305	944
743	12317	927
744	12329	910
745	12340	893
746	12354	876
747	12367	859
748	12378	842
749	12390	826
750	12402	809
751	12414	792
752	12425	775
753	12437	758
754	12448	741
755	12459	725
756	12471	708
757	12482	691
758	12493	674
759	12505	658
760	12518	641
761	12531	624
762	12544	608
763	12554	591
764	12564	574
765	12575	558
766	12586	541
767	12604	525
768	12621	508
769	12640	492
770	12657	476
771	12674	459
772	12687	443
773	12701	426
774	12715	410
775	12729	393
776	12742	377
777	12756	360
778	12771	344
779	12786	327
780	12799	311
781	12813	294
782	12826	278
783	12840	262
784	12855	245
785	12869	229
786	12883	212
787	12898	196
788	12911	180
789	12924	163
790	12938	147
791	12951	130
792	12964	114
793	12977	98
794	12991	81
795	13004	65
796	13019	49
797	13033	32
798	13046	16
799	13060	0
